T,wm,N,t,U,J,Jphm,w0,g,lbd,k_sz,diis_mem,timestamp
10,8,1,0.3,3.0,0.8,0.1,0.1,0.2,0.02,24,5,2025050219114805370563545
10,8,1,0.3,3.0,0.8,0.1,0.1,0.1,0.02,24,5,2025050219080911430463543
10,8,1,0.3,3.0,0.8,0.1,0.1,0.2,0.07,24,5,2025050219195928346963548
10,8,1,0.3,3.0,1.0,0.1,0.1,0.1,0.05,24,5,2025050219283609884763549
10,8,1,0.3,3.0,1.0,0.1,0.1,0.2,0.02,24,5,2025050219313315007963546
10,8,1,0.3,3.0,1.0,0.1,0.1,0.1,0.02,24,5,2025050219280792232663542
10,8,1,0.3,3.0,1.0,0.1,0.1,0.1,0.07,24,5,2025050219294643765063544
10,8,1,0.3,3.0,1.0,0.1,0.1,0.2,0.05,24,5,2025050219323432391163547
10,8,1,0.3,3.0,1.0,0.1,0.1,0.2,0.07,24,5,2025050219331757763863545
10,8,1,0.3,4.0,0.6,0.1,0.1,0.1,0.02,24,5,2025050219332218048663543
10,8,1,0.3,4.0,0.6,0.1,0.1,0.1,0.05,24,5,2025050219433668142163548
10,8,1,0.3,4.0,0.6,0.1,0.1,0.2,0.02,24,5,2025050219481184946663546
10,8,1,0.3,4.0,0.6,0.1,0.1,0.2,0.05,24,5,2025050219492269250663542
10,8,1,0.3,4.0,0.6,0.1,0.1,0.1,0.07,24,5,2025050219452848199363549
10,8,1,0.3,4.0,0.8,0.1,0.1,0.1,0.05,24,5,2025050219535364100063545
10,8,1,0.3,4.0,0.8,0.1,0.1,0.1,0.02,24,5,2025050219534533554663547
10,8,1,0.3,4.0,0.6,0.1,0.1,0.2,0.07,24,5,2025050219523622631963544
10,8,1,0.3,4.0,0.8,0.1,0.1,0.1,0.07,24,5,2025050220024664461763543
10,8,1,0.3,4.0,1.0,0.1,0.1,0.1,0.02,24,5,2025050220182997403363549
10,8,1,0.3,4.0,0.8,0.1,0.1,0.2,0.02,24,5,2025050220124457274163548
10,8,1,0.3,4.0,0.8,0.1,0.1,0.2,0.07,24,5,2025050220175582566463542
10,8,1,0.3,4.0,1.0,0.1,0.1,0.1,0.05,24,5,2025050220201044065663545
10,8,1,0.3,4.0,0.8,0.1,0.1,0.2,0.05,24,5,2025050220174860106463546
10,8,1,0.3,4.0,1.0,0.1,0.1,0.2,0.02,24,5,2025050220235528993463544
10,8,1,0.3,4.0,1.0,0.1,0.1,0.1,0.07,24,5,2025050220212764887263547
10,8,1,0.3,4.0,1.0,0.1,0.1,0.2,0.05,24,5,2025050220300086878163543
10,8,1,0.3,4.0,1.0,0.1,0.1,0.2,0.07,24,5,2025050220394567281163549
10,8,1,0.3,5.0,0.6,0.1,0.1,0.1,0.02,24,5,2025050220411413240263548
10,8,1,0.3,5.0,0.6,0.1,0.1,0.1,0.05,24,5,2025050220441867402863542
10,8,1,0.3,5.0,0.6,0.1,0.1,0.1,0.07,24,5,2025050220442376804963545
10,8,1,0.3,5.0,0.6,0.1,0.1,0.2,0.02,24,5,2025050220452334904363546
10,8,1,0.3,5.0,0.6,0.1,0.1,0.2,0.05,24,5,2025050220474223863463544
10,8,1,0.3,5.0,0.6,0.1,0.1,0.2,0.07,24,5,2025050220482749978763547
10,8,1,0.3,5.0,0.8,0.1,0.1,0.1,0.02,24,5,2025050220555663342063543
10,8,1,0.3,5.0,0.8,0.1,0.1,0.2,0.02,24,5,2025050221074636314363542
10,8,1,0.3,5.0,0.8,0.1,0.1,0.1,0.05,24,5,2025050221044910595863549
10,8,1,0.3,5.0,0.8,0.1,0.1,0.1,0.07,24,5,2025050221064197732163548
10,8,1,0.3,5.0,1.0,0.1,0.1,0.1,0.02,24,5,2025050221370585514678292
10,8,1,0.3,5.0,1.0,0.1,0.1,0.2,0.07,24,5,2025050221370723344478290
10,8,1,0.3,5.0,0.8,0.1,0.1,0.2,0.05,24,5,2025050221370588081078294
10,8,1,0.3,5.0,1.0,0.1,0.1,0.1,0.05,24,5,2025050221370654721478289
10,8,1,0.3,5.0,0.8,0.1,0.1,0.2,0.07,24,5,2025050221370555142078293
10,8,1,0.3,5.0,1.0,0.1,0.1,0.2,0.05,24,5,2025050221370678276278296
10,8,1,0.3,5.0,1.0,0.1,0.1,0.2,0.02,24,5,2025050221370654744478295
10,8,1,0.3,5.0,1.0,0.1,0.1,0.1,0.07,24,5,2025050221370618754278291
10,8,1,0.3,6.0,0.6,0.1,0.1,0.1,0.05,24,5,2025050222043642788878290
10,8,1,0.3,6.0,0.6,0.1,0.1,0.1,0.02,24,5,2025050222042777558978292
10,8,1,0.3,6.0,0.8,0.1,0.1,0.1,0.02,24,5,2025050222065736818778295
10,8,1,0.3,6.0,0.6,0.1,0.1,0.2,0.02,24,5,2025050222045970877278289
10,8,1,0.3,6.0,0.6,0.1,0.1,0.2,0.05,24,5,2025050222050628936578293
10,8,1,0.3,6.0,0.6,0.1,0.1,0.2,0.07,24,5,2025050222065352771178296
